Profit and Loss - Full Year 2024,,,,,,,,,,,,,
And Company (Spicy Cubes),,,,,,,,,,,,,
"January 1, 2024 - December 31, 2024",,,,,,,,,,,,,

Distribution account,January 2024,February 2024,March 2024,April 2024,May 2024,June 2024,July 2024,August 2024,September 2024,October 2024,November 2024,December 2024,Total
Income,,,,,,,,,,,,,
4000 Sales,"2,708.35","11,562.59","1,996.38","57,362.32","22,863.42","14,652.81","64,840.90","112,611.19","35,476.50","25,286.24","28,924.29","87,304.36","465,589.35"
4010 Discounts,-428.11,-704.04,-725.80,"-2,965.69",-953.23,-842.32,"-4,427.61","-9,816.54","-2,852.88","-1,404.88","-2,727.27","-8,822.15","-36,670.52"
4020 Refunds,-307.20,-369.59,-34.99,"-1,335.78",-293.47,-349.90,-650.13,"-2,482.27",-841.49,-681.32,-357.86,"-1,432.06","-9,136.06"
4030 Shipping Income,186.29,420.59,63.70,"3,371.20",695.80,808.50,"3,699.50","8,305.50","2,352.00","1,352.64","2,077.84","8,829.80","32,163.36"
4040 Chargebacks,,,-32.79,,,,-74.53,-192.46,-69.28,-74.53,,-122.68,-566.27
Total for Income,"2,159.33","10,909.55","1,266.50","56,432.05","22,312.52","14,269.09","63,388.13","108,425.42","34,064.85","24,478.15","27,917.00","85,757.27","$451,379.86"
Cost of Goods Sold,,,,,,,,,,,,,
5000 Cost of Goods Sold,986.70,"4,660.26",705.87,"16,580.61","7,916.37","4,956.27","19,752.15","28,381.32","9,495.90","7,074.72","7,309.03","11,933.00","119,752.20"
5010 Inbound Freight & Shipping,,,,,,,,"5,089.51",,,,,"5,089.51"
Total for Cost of Goods Sold,986.70,"4,660.26",705.87,"16,580.61","7,916.37","4,956.27","19,752.15","33,470.83","9,495.90","7,074.72","7,309.03","11,933.00","$124,841.71"
Gross Profit,"1,172.63","6,249.29",560.63,"39,851.44","14,396.15","9,312.82","43,635.98","74,954.59","24,568.95","17,403.43","20,607.97","73,824.27","$326,538.15"
Expenses,,,,,,,,,,,,,
6000 Cost of Sales,,,,,,,,,,,,,
6010 Outbound Shipping & Delivery,206.71,"3,114.84",657.37,"9,733.41","3,905.41","6,822.27","3,074.44","6,523.69","6,184.83","5,772.32","3,728.58",697.91,"50,421.78"
6020 3PL Expense,,,,,,,882.20,"5,308.41","2,900.15","2,459.97","1,577.22",390.71,"13,518.66"
6040 Storage,,,,,,,40.00,40.00,40.00,40.00,80.00,20.00,260.00
6055 Amazon Seller Fees,122.80,"1,189.22",39.99,"2,224.78","1,261.13",370.29,"3,298.76","2,632.59",392.79,662.19,983.04,47.55,"13,225.13"
6057 Amazon Shipping Fees,0.75,9.85,,,,,,,,0.02,0.04,,10.66
6065 Shopify Merchant Fees,14.99,54.84,133.02,661.16,286.55,205.13,"1,072.42","1,564.03",986.29,246.31,448.09,"2,355.43","8,028.26"
6075 Other Merchant Processing Fees,70.27,129.04,37.73,"1,282.97",456.51,368.40,"1,001.80","2,875.74","3,071.32","1,177.25",855.67,"2,200.41","13,527.11"
Total for 6000 Cost of Sales,415.52,"4,497.79",868.11,"13,902.32","5,909.60","7,766.09","9,369.62","18,944.46","13,575.38","10,358.06","7,672.64","5,712.01","$98,991.60"
6100 Advertising & Marketing,357.93,20.00,"3,035.86",366.02,50.00,50.00,50.00,224.25,373.00,"1,257.56",165.63,861.20,"6,811.45"
6110 Paid Advertising,75.00,3.00,,,,730.00,359.89,,"1,270.72",711.72,36.25,143.47,"3,330.05"
6120 Affiliate Marketing Expense,"1,240.27",403.22,"2,973.32","6,432.74","4,858.56","6,239.32","8,334.67","13,772.28","5,690.94","6,305.18","6,274.16","31,588.51","94,113.17"
6130 Marketing Contractors and Agencies,,"3,351.34","2,069.65","1,865.00","2,229.81","3,000.00","2,086.90",,350.00,,,,"14,952.70"
6140 Advertising Software & Apps,"1,248.99",-616.67,50.00,444.41,50.00,638.00,50.00,50.00,150.00,71.78,438.43,518.78,"3,093.72"
6145 Creatives,,,,,,,,,,,,196.00,196.00
Total for 6100 Advertising & Marketing,"2,922.19","3,160.89","8,128.83","9,108.17","7,188.37","10,657.32","10,881.46","14,046.53","7,834.66","8,346.24","6,914.47","33,307.96","$122,497.09"
6210 Bank Charges & Fees,-0.01,,65.00,40.00,80.00,,126.78,145.00,40.00,65.00,330.59,115.00,"1,007.36"
6240 Contractors,,527.95,,,,,,,,,"2,674.98","-2,224.98",977.95
6260 Education & Training,,,,,,,,,"10,000.00",,,,"10,000.00"
6290 Insurance,,,,172.25,516.75,,,,,,,,689.00
6300 Legal & Professional Services,530.50,772.00,30.50,160.50,36.50,38.00,38.00,41.00,296.00,54.50,59.00,66.50,"2,123.00"
6375 Software & Apps,135.18,339.60,370.35,53.20,31.60,97.80,97.80,310.60,140.60,285.44,126.93,993.05,"2,982.15"
6390 Product Development,"2,485.31",66.96,669.33,149.11,,,,"2,534.64",,,132.83,"1,042.60","7,080.78"
6410 Rent & Lease,,,,200.00,,300.00,,,300.00,,,300.00,"1,100.00"
Total for Expenses,"6,488.69","9,365.19","10,132.12","23,785.55","13,762.82","18,859.21","20,513.66","36,022.23","32,186.64","19,109.24","17,911.44","39,312.14","$247,448.93"
Net Operating Income,"-5,316.06","-3,115.90","-9,571.49","16,065.89",633.33,"-9,546.39","23,122.32","38,932.36","-7,617.69","-1,705.81","2,696.53","34,512.13","$79,089.22"
Other Income,,,,,,,,,,,,,
7010 Other Miscellaneous Income,,,"1,043.13",,,,,,,,,,"1,043.13"
Total for Other Income,,,"1,043.13",,,,,,,,,,"$1,043.13"
Other Expenses,,,,,,,,,,,,,
8005 Depreciation,291.67,291.67,291.67,291.67,291.67,291.67,291.67,291.67,291.67,291.67,291.63,291.67,"3,500.00"
Total for Other Expenses,291.67,291.67,291.67,291.67,291.67,291.67,291.67,291.67,291.67,291.67,291.63,291.67,"$3,500.00"
Net Other Income,-291.67,-291.67,751.46,-291.67,-291.67,-291.67,-291.67,-291.67,-291.67,-291.67,-291.63,-291.67,"-$2,456.87"
Net Income,"-5,607.73","-3,407.57","-8,820.03","15,774.22",341.66,"-9,838.06","22,830.65","38,640.69","-7,909.36","-1,997.48","2,404.90","34,220.46","$76,632.35"


"Accrual Basis Thursday, December 11, 2025 07:17 PM",,,,,,,,,,,,,
